"druglocalcode","drugigrdname"
"Drug3097","Morphine sulfate"
"Drug3098","Quetiapine"
"Drug3099","Oxatomide"
"Drug3100","Amineptine.HCl"
"Drug3101","Mercaptopurine"
"Drug3102","Edrophonium chloride"
"Drug3103","Interferon alpha-2b"
"Drug3104","Erdosteine"
"Drug3105","Methylcysteine.HCl"
"Drug3106","Alginate Sodium"
"Drug3107","Olmesartan 20mg+HCTZ 12.5mg"
"Drug3108","Loperamide. HCI"
"Drug3109","Procainamide.HCl"
"Drug3110","Gonadotropin R. Horm"
"Drug3111","FSH(Urofollitrophin)"
"Drug3112","Paliperidone"
"Drug3113","Thiopental Sod"
"Drug3114","Tacrolimus"
"Drug3115","Magnesium Oxide"
"Drug3116","Hepatitis B Immunoglobulin"
"Drug3117","Sertraline.HCl"
"Drug3118","Potassium Citrate 3300mg + Citric acid 1002mg"
"Drug3119","Clindamycin"
"Drug3120","Papaverine.HCl"
"Drug3121","Capecitabine"
"Drug3122","Pot.Chloride(20mEq)"
"Drug3123","Bucillamine"
"Drug3124","Cerebrolysin concentrate"
"Drug3125","Paliperidone palmitate"
"Drug3126","Sulfasalazine"
"Drug3127","Glucagon.HCl"
"Drug3128","Leflunomide"
"Drug3129","Sod.Chloride (40mEq)"
"Drug3130","Thrombin 400-600IU+Human fibrinogen concentrate 75-115mg"
"Drug3131","Levofloxacin"
"Drug3132","Gestodene + Ethinyl estradiol"
"Drug3133","Insulin Human (RI 30% + NPH 70%)"
"Drug3134","Vacc. Influenza Virus"
"Drug3135","Meloxicam"
"Drug3136","Pethidine HCL"
"Drug3137","Lamotrigine"
"Drug3138","Clopidogrel"
"Drug3139","Granisetron"
"Drug3140","Mesalazine"
"Drug3141","Erythropoietin-a recombinant"
"Drug3142","Memantine HCl"
"Drug3143","Salmeterol 50mcg + Fluticasone propionate 100mcg/puff"
"Drug3144","Insulin Human (RI 30% + NPH 70%)"
"Drug3145","Cyclosporine"
"Drug3146","Filgrastim(G-CSF)"
"Drug3147","Cefprozil"
"Drug3148","Pelargonium sidoides ex"
"Drug3149","Propofol"
"Drug3150","Gabapentin"
"Drug3151","Cefcapene Pivoxil"
"Drug3152","Corifollitropin alfa"
"Drug3153","Gabexate mesylate"
"Drug3154","Medroxyprogesterone acetate"
"Drug3155","Human Immunoglobulin-G"
"Drug3156","Polystyrene sulfonate Ca."
"Drug3157","Aripiprazole"
"Drug3158","Oxaliplatin"
"Drug3159","Cytarabine"
"Drug3160","Etomidate"
"Drug3161","Chlorhexidine gluconate"
"Drug3162","Streptococcus faecium + Bacillus subtilis"
"Drug3163","Ampicillin 500mg, Sulbactam 250mg"
"Drug3164","Bisacodyl+Docusate sod."
"Drug3165","Metronidazole"
"Drug3166","Melphalan"
"Drug3167","Misoprostol"
"Drug3168","Arbekacin"
"Drug3169","Aspirin"
"Drug3170","Peritoneal dialysate"
"Drug3171","Ergotamine tartrate 1mg+Caffeine 100mg"
"Drug3172","Salbutamol sulfate"
"Drug3173","Salbutamol"
"Drug3174","Coagulation factor VII (Eptacog alfa)"
"Drug3175","Ubenimex"
"Drug3176","Monobasic Potassium phosphate"
"Drug3177","Ebastine 10mg + pseudoephedrine 120mg"
"Drug3178","Pioglitazone + Metformin"
"Drug3179","Darbepoetin-alpha"
"Drug3180","IgM enriched human immunoglobulin"
"Drug3181","Oxybutynin chloride"
"Drug3182","Bupropion"
"Drug3183","Risedronate 150mg + Cholecalciferol 30,000unit"
"Drug3184","Diazepam"
"Drug3185","Al(OH)3 + Mg(OH)2 + Simethicone"
"Drug3186","Clevudine"
"Drug3187","Deferoxamine mesylate"
"Drug3188","Rebamipide"
"Drug3189","Docetaxel"
"Drug3190","L-Arginine HCl"
"Drug3191","Primaquine"
"Drug3192","Vecuronium bromide"
"Drug3193","Melilotus ext."
"Drug3194","Minoxidil"
"Drug3195","S-Carboxymethylcysteine"
"Drug3196","Sulpyrin"
"Drug2957","Cobamamide (Vit.B12)"
"Drug2958","Lepirudin"
"Drug2959","Pronase-B"
"Drug2960","Vildagliptin"
"Drug2961","Progesterone (Micronized)"
"Drug2962","Risedronate"
"Drug2963","Molsidomine"
"Drug2964","Sivelestat sodium hydrate"
"Drug2965","Thrombin"
"Drug2966","Nilotinib"
"Drug2967","Haloperidol"
"Drug2968","Tegafur 20mg + Gimeracil 5.8mg + Oteracil K 19.6mg"
"Drug2969","Morniflumate"
"Drug2970","Ciprofloxacin"
"Drug2971","Hydrocodone bitartrate + Acetaminophen "
"Drug2972","Liothyronine"
"Drug2973","Norephinephrine Bitartrate"
"Drug2974","Erdosteine"
"Drug2975","Pelubiprofen"
"Drug2976","Bleomycin.HCl"
"Drug2977","Amoxicillin + Clavulanate K"
"Drug2978","EPL Liquidium etc"
"Drug2979","Methyldopa"
"Drug2980","Piracetam"
"Drug2981","Methotrexate "
"Drug2982","Aztreonam"
"Drug2983","Gabapentin"
"Drug2984","Aspirin lysine 0.9g + Aminoacetic acid 0.1g"
"Drug2985","Estradiol + Norethisterone"
"Drug2986","Methylol cephalexin lysinate"
"Drug2987","Parnaparin Sod"
"Drug2988","Nafcillin Sodium"
"Drug2989","Polysaccharide K"
"Drug2990","Fentanyl citrate"
"Drug2991","Human chorionic gonadotropin (HCG)"
"Drug2992","Tegafur 25mg + Gimeracil 7.25mg + Oteracil K 24.5mg"
"Drug2993","Bupivacaine HCl"
"Drug2994","Azithromycin dihydrate"
"Drug2995","Doxapram.HCl"
"Drug2996","Daunorubicin.HCl"
"Drug2997","Pethidine.HCl"
"Drug2998","Risperidone"
"Drug2999","Losartan K 50mg + Hydrochlorothiazide 12.5mg"
"Drug3000","Moclobemide"
