"personid","sex","Birthyeargroup","ethnicity"
"232221","1","12","1"
"98547","0","16","1"
"148028","0","16","1"
"367696","0","15","1"
"77404","0","13","1"
"196157","0","19","1"
"297522","1","15","1"
"224763","1","11","1"
"268813","0","21","1"
"277062","1","16","1"
"106679","0","10","1"
"274412","0","11","1"
"330527","1","18","1"
"87191","1","12","1"
"139893","1","22","1"
"37192","0","8","1"
"441758","0","6","1"
"394078","0","12","1"
"135202","1","22","1"
"173225","1","17","1"
"50116","0","8","1"
"255893","0","7","1"
"239274","0","13","1"
"106882","0","7","1"
"57180","0","14","1"
"256617","1","14","1"
"95279","0","10","1"
"206184","1","10","1"
"87554","0","11","0"
"358094","1","20","1"
"362038","1","10","1"
"173851","1","8","1"
"121003","1","16","1"
"153029","1","9","1"
"184552","1","18","1"
"8755","0","8","1"
"91460","1","12","1"
"89330","0","22","1"
"111436","1","13","1"
"295865","1","13","1"
"421926","1","9","1"
"225011","0","13","1"
"90660","0","11","1"
"129616","0","22","1"
"105299","0","13","1"
"421942","0","16","1"
"41420","0","16","1"
"158616","0","11","1"
"112450","1","13","1"
"429005","0","16","1"
"106379","0","18","1"
"296579","0","9","1"
"308500","1","17","1"
"309169","0","14","1"
"42878","0","15","1"
"245287","1","16","1"
"65079","1","21","1"
"410777","0","11","1"
"339151","1","10","1"
"250043","1","11","1"
"393768","0","18","1"
"371137","1","17","1"
"332736","0","8","1"
"449247","1","18","1"
"261279","1","15","1"
"83278","0","8","1"
"13071","1","7","1"
"218327","1","14","1"
"46076","1","14","1"
"107443","0","10","1"
"348963","0","14","1"
"219405","0","13","1"
"37578","0","8","1"
"453857","0","15","1"
"90593","1","10","1"
"59811","1","15","1"
"188055","1","14","1"
"277592","1","19","1"
"132569","0","12","0"
"336087","0","11","1"
"225192","1","20","1"
"121656","1","19","1"
"139611","0","18","1"
"227328","1","6","1"
"155749","1","15","1"
"147442","0","21","1"
"299977","1","10","1"
"353533","1","9","1"
"322415","1","17","1"
"250314","1","16","1"
"136052","0","14","1"
"307980","0","16","1"
"341123","0","13","0"
"255066","0","14","1"
